Name																																																																											
Abbo	61	75	153	250	369																																																																						
Abelen	323																																																																										
Achmann	387																																																																										
Ackermann	433																																																																										
Adams	288																																																																										
Ade	442																																																																										
Adler	27	61	127	168	204	323	369	387	415	464																																																																	
Ahlers-Hestermann	250	323	426																																																																								
Ahlers-Hestern	323																																																																										
Ahner	447																																																																										
A.K.	459																																																																										
Albrecht	422																																																																										
Altherr	433	442																																																																									
Amiet	304	426																																																																									
Amrhein	403																																																																										
Angermann	102																																																																										
Angrand	168																																																																										
Anhalt	315																																																																										
Anhalzer	127																																																																										
Annot	41																																																																										
Annot-Jacobi	27																																																																										
Anselment	219																																																																										
Antes	310																																																																										
Appen	201																																																																										
Archipenko	27	61	168	219	288	304	323	333	356	369	467																																																																
Aretz	127																																																																										
Arnold	75	168	223																																																																								
Arnthal	250																																																																										
Arp	288																																																																										
Arsendorpf	426																																																																										
Aschheim	59	61																																																																									
Asendopf	447																																																																										
Ast	250																																																																										
Aubergonis	442																																																																										
Aufsesser	127																																																																										
Babberger	168	204	310	369																																																																							
Baden	54																																																																										
Baer	153	447																																																																									
Baer-Jena	153																																																																										
Bagge	54																																																																										
Bähr-Hanf	153																																																																										
Ball	230																																																																										
Ballmer	275																																																																										
Balwé																																																																											
Banco, Adel	250																																																																										
Bangemann	54																																																																										
Barcinski	117																																																																										
Bargheer	250	251																																																																									
Barlach	7	12	27	46	54	57	61	82	91	107	116	127	148	153	168	200	204	223	237	251	252	253	254	284	288	307	310	317	323	333	336	347	356	362	369	386	387	403	408	414	415	423	426	433	442	447	467	478																											
Barraud	369	467																																																																									
Bartels	414																																																																										
Barth	127	230																																																																									
Bartolezzi	288																																																																										
Barz	127	403																																																																									
Bassler	415																																																																										
Battke	41																																																																										
Bauer	61	323	403	415																																																																							
Baugerber	254																																																																										
Bauhausmappen	82	153	347																																																																								
Baum	54																																																																										
Baumann	392																																																																										
Baumeister	61	98	127	168	288	304	310	317	323	367	369	433	456																																																														
Baumknecht	432	433																																																																									
Baur-Hütten	127																																																																										
Bayer	168	288																																																																									
Bäumer	204																																																																										
Bechtejeff	254	464																																																																									
Beck	230																																																																										
Becker	127	168	369																																																																								
Beckerath	343																																																																										
Becker-Modersohn	254																																																																										
Beckmann	12	13	14	27	46	61	75	82	83	91	102	107	117	127	128	153	168	169	204	205	206	219	223	254	288	289	310	323	333	336	347	356	367	369	370	386	387	392	408	412	415	426	432	433	434	442	447	456	467																										
Bednorz	59																																																																										
Beéh Rene	61	128	169	307	370	392	467																																																																				
Behmer	206																																																																										
Behrend-Corinth	403																																																																										
Behrens	206																																																																										
Behringer	347																																																																										
Beier	403																																																																										
Bell	128																																																																										
Belling	27	169																																																																									
Bellmann	254																																																																										
Benk	62																																																																										
Benkert	284	424	464																																																																								
Benn	61																																																																										
Berg	403	467																																																																									
Berger	62	116	289																																																																								
Berger-Bergner	117																																																																										
Berlit	128	153	347	400																																																																							
Berndt	102	117																																																																									
Bernerker	41																																																																										
Bernath	403																																																																										
Bernstein	415																																																																										
Bertsch	370																																																																										
Besch	206																																																																										
Best	201	230	370																																																																								
Betolozzi	289																																																																										
Bettermann	347																																																																										
Betzler	206																																																																										
Beyer	10	315																																																																									
Beyerlein	403																																																																										
Beyr	362																																																																										
Biel	370																																																																										
Biese	434																																																																										
Biesemann	128																																																																										
Bille	442																																																																										
Bindel	128																																																																										
Bing	128																																																																										
Birkle	289																																																																										
Birnbacher	54																																																																										
Bischoff	128	336																																																																									
